,GSM2779669,GSM2779670,GSM2779671,GSM2779672,GSM2779673,GSM2779674,GSM2779675,GSM2779676
total_reads,1665820,2056196,4043631,4933725,462259,388884,1861626,1935766
clipped_reads,1658006,2048109,4024641,4915903,430225,385250,1826180,1926224
clipped_reads_%,99.53,99.61,99.53,99.64,93.07,99.07,98.1,99.51
filtered_out,17284,17372,22551,24920,18918,14656,23232,23756
filtered_out_%,1.04,0.85,0.56,0.51,4.4,3.8,1.27,1.23
filter_kept,1640722,2030737,4002090,4890983,411307,370594,1802948,1902468
filter_kept_%,98.96,99.15,99.44,99.49,95.6,96.2,98.73,98.77
transcriptome_aligned_once,1355253,1715762,3239055,3997912,240340,240505,1335522,1358159
transcriptome_aligned_once_%,82.6,84.49,80.93,81.74,58.43,64.9,74.07,71.39
transcriptome_aligned_many,144447,162398,361964,440364,46256,35223,172283,189042
transcriptome_aligned_many_%,8.8,8.0,9.04,9.0,11.25,9.5,9.56,9.94
transcriptome_total_aligned,1499700,1878160,3601019,4438276,286596,275728,1507805,1547201
transcriptome_total_aligned_%,91.4,92.49,89.98,90.74,69.68,74.4,83.63,81.33
transcriptome_unaligned,141022,152577,401071,452707,124711,94866,295143,355267
transcriptome_unaligned_%,8.6,7.51,10.02,9.26,30.32,25.6,16.37,18.67
qpass_aligned_reads,1414991,1784371,3372952,4154259,249094,249699,1390577,1413281
qpass_aligned_reads_%,94.35,95.01,93.67,93.6,86.91,90.56,92.23,91.34
after_dedup,1107231,1321349,2142901,2518156,225931,231254,1038773,1023455
after_dedup_%,78.25,74.05,63.53,60.62,90.7,92.61,74.7,72.42
