,GSM3671370.1,GSM3671371.1
total_reads,36589695,123466744
clipped_reads,35719448,120369634
clipped_reads_%,97.62,97.49
filtered_out,24200803,76904844
filtered_out_%,67.75,63.89
filter_kept,11518645,43464790
filter_kept_%,32.25,36.11
transcriptome_aligned_once,7634503,28918565
transcriptome_aligned_once_%,66.28,66.53
transcriptome_aligned_many,1672020,6371971
transcriptome_aligned_many_%,14.52,14.66
transcriptome_total_aligned,9306523,35290536
transcriptome_total_aligned_%,80.8,81.19
transcriptome_unaligned,2212122,8174254
transcriptome_unaligned_%,19.2,18.81
qpass_aligned_reads,8143453,30895160
qpass_aligned_reads_%,87.5,87.55
after_dedup,8143453,30895160
after_dedup_%,100.0,100.0
