,GSM4140499,GSM4140500,GSM4140501,GSM4140502
total_reads,48084337,41413629,33983725,51425285
clipped_reads,44354248,40195740,32862694,47706583
clipped_reads_%,92.24,97.06,96.7,92.77
filtered_out,2377330,5442121,5737345,4276481
filtered_out_%,5.36,13.54,17.46,8.96
filter_kept,41976918,34753619,27125349,43430102
filter_kept_%,94.64,86.46,82.54,91.04
transcriptome_aligned_once,33493649,27223012,21277659,34344146
transcriptome_aligned_once_%,79.79,78.33,78.44,79.08
transcriptome_aligned_many,3245605,2525343,2233281,3779157
transcriptome_aligned_many_%,7.73,7.27,8.23,8.7
transcriptome_total_aligned,36739254,29748355,23510940,38123303
transcriptome_total_aligned_%,87.52,85.6,86.68,87.78
transcriptome_unaligned,5237664,5005264,3614409,5306799
transcriptome_unaligned_%,12.48,14.4,13.32,12.22
qpass_aligned_reads,17861306,14854893,11607376,18317749
qpass_aligned_reads_%,48.62,49.94,49.37,48.05
after_dedup,17861306,14854893,11607376,18317749
after_dedup_%,100.0,100.0,100.0,100.0
